step,node_index,body_id,prev_value,new_value
1,0,0,-1,1
1,1,1,-1,1
1,2,2,-1,1
1,13,13,-1,1
1,16,16,-1,1
1,18,18,-1,1
1,19,19,-1,1
1,21,21,-1,1
1,23,23,-1,1
1,25,25,-1,1
1,26,26,-1,1
1,32,32,-1,1
1,33,33,-1,1
1,36,36,-1,1
1,37,37,-1,1
1,44,44,-1,1
1,47,47,-1,1
1,49,49,-1,1
1,53,53,-1,1
1,58,58,-1,1
1,60,60,-1,1
1,65,65,-1,1
1,70,70,-1,1
1,72,72,-1,1
1,73,73,-1,1
1,83,83,-1,1
1,84,84,-1,1
1,85,85,-1,1
1,88,88,-1,1
1,104,104,-1,1
1,109,109,-1,1
1,112,112,-1,1
1,113,113,-1,1
1,114,114,-1,1
1,115,115,-1,1
1,116,116,-1,1
1,119,119,-1,1
1,125,125,-1,1
1,128,128,-1,1
1,129,129,-1,1
1,130,130,-1,1
1,132,132,-1,1
1,141,141,-1,1
1,144,144,-1,1
1,146,146,-1,1
1,148,148,-1,1
1,152,152,-1,1
1,162,162,-1,1
1,167,167,-1,1
1,171,171,-1,1
1,175,175,-1,1
1,177,177,-1,1
1,180,180,-1,1
1,189,189,-1,1
1,191,191,-1,1
1,193,193,-1,1
1,195,195,-1,1
1,200,200,-1,1
1,202,202,-1,1
1,204,204,-1,1
1,205,205,-1,1
1,207,207,-1,1
1,212,212,-1,1
1,218,218,-1,1
1,221,221,-1,1
1,227,227,-1,1
1,228,228,-1,1
1,238,238,-1,1
1,239,239,-1,1
1,244,244,-1,1
1,246,246,-1,1
1,247,247,-1,1
1,250,250,-1,1
1,251,251,-1,1
1,252,252,-1,1
1,257,257,-1,1
1,259,259,-1,1
1,265,265,-1,1
1,267,267,-1,1
1,269,269,-1,1
1,272,272,-1,1
1,275,275,-1,1
1,285,285,-1,1
1,287,287,-1,1
1,293,293,-1,1
1,294,294,-1,1
1,297,297,-1,1
1,310,310,-1,1
1,312,312,-1,1
1,318,318,-1,1
1,319,319,-1,1
1,325,325,-1,1
1,326,326,-1,1
1,332,332,-1,1
1,336,336,-1,1
1,337,337,-1,1
1,338,338,-1,1
1,341,341,-1,1
1,344,344,-1,1
1,347,347,-1,1
1,352,352,0,1
1,354,354,-1,1
1,360,360,-1,1
1,366,366,-1,1
1,372,372,-1,1
1,374,374,-1,1
1,384,384,-1,1
1,387,387,-1,1
1,389,389,-1,1
1,392,392,-1,1
1,402,402,-1,1
1,408,408,-1,1
1,409,409,-1,1
1,412,412,-1,1
1,416,416,0,1
1,422,422,-1,1
1,424,424,-1,1
1,425,425,-1,1
1,445,445,-1,1
1,451,451,-1,1
1,461,461,-1,1
1,462,462,-1,1
1,465,465,-1,1
1,467,467,-1,1
1,468,468,-1,1
1,470,470,-1,1
1,473,473,-1,1
1,475,475,-1,1
1,476,476,-1,1
1,477,477,-1,1
1,481,481,-1,1
1,489,489,-1,1
1,491,491,-1,1
1,498,498,-1,1
1,503,503,-1,1
1,505,505,-1,1
1,507,507,-1,1
1,511,511,-1,1
1,513,513,-1,1
1,518,518,-1,1
1,521,521,-1,1
1,522,522,-1,1
1,525,525,-1,1
1,526,526,-1,1
1,528,528,-1,1
1,529,529,-1,1
1,530,530,-1,1
1,531,531,-1,1
1,533,533,-1,1
1,541,541,0,1
1,543,543,-1,1
1,546,546,-1,1
1,550,550,-1,1
1,552,552,-1,1
1,555,555,-1,1
1,556,556,-1,1
1,559,559,-1,1
1,560,560,-1,1
1,561,561,-1,1
1,562,562,-1,1
1,564,564,-1,1
1,567,567,-1,1
1,569,569,-1,1
1,570,570,-1,1
1,571,571,-1,1
1,579,579,-1,1
1,584,584,-1,1
1,585,585,-1,1
1,587,587,-1,1
1,591,591,0,1
1,592,592,-1,1
1,593,593,-1,1
1,596,596,-1,1
1,599,599,-1,1
1,602,602,-1,1
1,604,604,-1,1
1,605,605,-1,1
1,607,607,-1,1
1,616,616,-1,1
1,617,617,-1,1
1,618,618,-1,1
1,619,619,0,1
1,623,623,-1,1
1,624,624,-1,1
1,630,630,-1,1
1,633,633,-1,1
1,634,634,-1,1
1,638,638,-1,1
1,643,643,-1,1
1,649,649,-1,1
1,651,651,-1,1
1,654,654,-1,1
1,656,656,-1,1
1,661,661,-1,1
1,664,664,-1,1
1,667,667,-1,1
1,672,672,-1,1
1,674,674,-1,1
1,675,675,-1,1
1,684,684,-1,1
1,697,697,-1,1
1,701,701,-1,1
1,706,706,-1,1
1,709,709,-1,1
1,710,710,-1,1
1,711,711,-1,1
1,715,715,-1,1
1,716,716,-1,1
1,723,723,-1,1
1,725,725,-1,1
1,728,728,-1,1
1,729,729,-1,1
1,730,730,-1,1
1,731,731,-1,1
1,734,734,-1,1
1,738,738,-1,1
1,742,742,-1,1
1,759,759,-1,1
1,761,761,-1,1
1,762,762,-1,1
1,763,763,-1,1
1,765,765,-1,1
1,773,773,-1,1
1,778,778,-1,1
1,780,780,-1,1
1,782,782,-1,1
1,786,786,-1,1
1,787,787,0,1
1,790,790,-1,1
1,791,791,-1,1
1,792,792,-1,1
1,793,793,0,1
1,794,794,-1,1
1,804,804,-1,1
1,806,806,-1,1
1,807,807,-1,1
1,813,813,-1,1
1,814,814,-1,1
1,818,818,-1,1
1,824,824,-1,1
1,829,829,-1,1
1,830,830,-1,1
1,835,835,-1,1
1,842,842,-1,1
1,843,843,-1,1
1,855,855,-1,1
1,858,858,-1,1
1,863,863,-1,1
1,874,874,-1,1
1,875,875,-1,1
1,876,876,-1,1
1,880,880,-1,1
1,886,886,-1,1
1,889,889,-1,1
1,898,898,-1,1
