label,count,+1,0,-1,entropy,purity
5-HTPMPV03_L,1,1,0,0,-0.000000,1.000000
5-HTPMPV03_R,1,1,0,0,-0.000000,1.000000
5th s-LNv,1,1,0,0,-0.000000,1.000000
AL-AST1_L,1,1,0,0,-0.000000,1.000000
AL-AST1_R,1,1,0,0,-0.000000,1.000000
AL-MBDL1_R,1,1,0,0,-0.000000,1.000000
ALBN1(ADL28)_L,1,1,0,0,-0.000000,1.000000
ALBN1_R,1,1,0,0,-0.000000,1.000000
ALIN1_R,2,2,0,0,-0.000000,1.000000
ALIN2_R,1,1,0,0,-0.000000,1.000000
ALIN3_R,2,2,0,0,-0.000000,1.000000
AMMC-A1_R,2,2,0,0,-0.000000,1.000000
AOTU001_R,3,3,0,0,-0.000000,1.000000
AOTU002_a_R,3,3,0,0,-0.000000,1.000000
AOTU002_b_R,4,4,0,0,-0.000000,1.000000
AOTU003_R,3,3,0,0,-0.000000,1.000000
AOTU004_R,3,3,0,0,-0.000000,1.000000
AOTU005_R,1,1,0,0,-0.000000,1.000000
AOTU006_R,1,1,0,0,-0.000000,1.000000
AOTU007_R,6,6,0,0,-0.000000,1.000000
AOTU008_a_R,8,8,0,0,-0.000000,1.000000
AOTU008_b_R,3,3,0,0,-0.000000,1.000000
AOTU009_R,1,1,0,0,-0.000000,1.000000
AOTU010_R,1,1,0,0,-0.000000,1.000000
AOTU011_R,2,2,0,0,-0.000000,1.000000
AOTU012_R,1,1,0,0,-0.000000,1.000000
AOTU013_R,1,1,0,0,-0.000000,1.000000
AOTU014_R,1,1,0,0,-0.000000,1.000000
AOTU015_R,3,3,0,0,-0.000000,1.000000
AOTU016_R,5,5,0,0,-0.000000,1.000000
AOTU017_R,4,4,0,0,-0.000000,1.000000
AOTU018_R,1,1,0,0,-0.000000,1.000000
AOTU019(ADM10)_L,1,1,0,0,-0.000000,1.000000
AOTU019_R,1,1,0,0,-0.000000,1.000000
AOTU020_R,2,2,0,0,-0.000000,1.000000
AOTU021_R,1,1,0,0,-0.000000,1.000000
AOTU022_R,1,1,0,0,-0.000000,1.000000
AOTU023(ADM11)_L,1,1,0,0,-0.000000,1.000000
AOTU023_R,1,1,0,0,-0.000000,1.000000
AOTU024_R,1,1,0,0,-0.000000,1.000000
AOTU025_R,1,1,0,0,-0.000000,1.000000
AOTU026_R,1,1,0,0,-0.000000,1.000000
AOTU027_R,1,1,0,0,-0.000000,1.000000
AOTU028_R,1,1,0,0,-0.000000,1.000000
AOTU029_R,1,1,0,0,-0.000000,1.000000
AOTU030_R,1,1,0,0,-0.000000,1.000000
AOTU031_R,1,1,0,0,-0.000000,1.000000
AOTU032_R,3,3,0,0,-0.000000,1.000000
AOTU033_R,1,1,0,0,-0.000000,1.000000
AOTU034_R,1,1,0,0,-0.000000,1.000000
AOTU035(AVL23)_L,1,1,0,0,-0.000000,1.000000
AOTU035_R,1,1,0,0,-0.000000,1.000000
AOTU036_R,1,1,0,0,-0.000000,1.000000
AOTU037_R,2,2,0,0,-0.000000,1.000000
AOTU038_R,4,4,0,0,-0.000000,1.000000
AOTU039_R,4,4,0,0,-0.000000,1.000000
AOTU040_R,3,3,0,0,-0.000000,1.000000
AOTU041(AVM16)_L,2,2,0,0,-0.000000,1.000000
AOTU041_R,2,2,0,0,-0.000000,1.000000
AOTU042(AVM16)_L,2,2,0,0,-0.000000,1.000000
AOTU042_R,2,2,0,0,-0.000000,1.000000
AOTU043_R,2,2,0,0,-0.000000,1.000000
AOTU044_R,4,4,0,0,-0.000000,1.000000
AOTU045_R,1,1,0,0,-0.000000,1.000000
AOTU046(PDM21)_L,2,2,0,0,-0.000000,1.000000
AOTU046_R,2,2,0,0,-0.000000,1.000000
AOTU047_R,1,1,0,0,-0.000000,1.000000
AOTU048_R,1,1,0,0,-0.000000,1.000000
AOTU049_R,2,2,0,0,-0.000000,1.000000
AOTU050_R,5,5,0,0,-0.000000,1.000000
AOTU051_R,2,2,0,0,-0.000000,1.000000
AOTU052_R,3,3,0,0,-0.000000,1.000000
AOTU053_R,2,2,0,0,-0.000000,1.000000
AOTU054_R,1,1,0,0,-0.000000,1.000000
AOTU055_R,1,1,0,0,-0.000000,1.000000
AOTU056_R,5,5,0,0,-0.000000,1.000000
AOTU057_R,1,1,0,0,-0.000000,1.000000
AOTU058_R,3,3,0,0,-0.000000,1.000000
AOTU059_R,4,4,0,0,-0.000000,1.000000
AOTU060_R,4,4,0,0,-0.000000,1.000000
AOTU061_R,2,2,0,0,-0.000000,1.000000
AOTU062_R,4,4,0,0,-0.000000,1.000000
AOTU063(SCB058)_R,2,2,0,0,-0.000000,1.000000
AOTU064(SCB012)_L,1,1,0,0,-0.000000,1.000000
AOTU064(SCB012)_R,1,1,0,0,-0.000000,1.000000
AOTU065(SCB052)_R,1,1,0,0,-0.000000,1.000000
APL fragment?,2,2,0,0,-0.000000,1.000000
