label,count,+1,0,-1,entropy,purity
5-HTPLP01,1,1,0,0,-0.000000,1.000000
5-HTPMPD01,2,2,0,0,-0.000000,1.000000
5-HTPMPV01,2,2,0,0,-0.000000,1.000000
5-HTPMPV03,2,2,0,0,-0.000000,1.000000
AL-AST1,2,2,0,0,-0.000000,1.000000
AL-MBDL1,1,1,0,0,-0.000000,1.000000
ALBN1,2,2,0,0,-0.000000,1.000000
ALIN1,2,2,0,0,-0.000000,1.000000
ALIN2,1,1,0,0,-0.000000,1.000000
ALIN3,2,2,0,0,-0.000000,1.000000
AMMC-A1,2,2,0,0,-0.000000,1.000000
AOTU001,3,3,0,0,-0.000000,1.000000
AOTU002_a,3,3,0,0,-0.000000,1.000000
AOTU002_b,4,4,0,0,-0.000000,1.000000
AOTU003,3,3,0,0,-0.000000,1.000000
AOTU004,3,3,0,0,-0.000000,1.000000
AOTU005,1,1,0,0,-0.000000,1.000000
AOTU006,1,1,0,0,-0.000000,1.000000
AOTU007,6,6,0,0,-0.000000,1.000000
AOTU008_a,8,8,0,0,-0.000000,1.000000
AOTU008_b,3,3,0,0,-0.000000,1.000000
AOTU009,1,1,0,0,-0.000000,1.000000
AOTU010,1,1,0,0,-0.000000,1.000000
AOTU011,2,2,0,0,-0.000000,1.000000
AOTU012,1,1,0,0,-0.000000,1.000000
AOTU013,1,1,0,0,-0.000000,1.000000
AOTU014,1,1,0,0,-0.000000,1.000000
AOTU015,3,3,0,0,-0.000000,1.000000
AOTU016,5,5,0,0,-0.000000,1.000000
AOTU017,4,4,0,0,-0.000000,1.000000
AOTU018,1,1,0,0,-0.000000,1.000000
AOTU019,2,2,0,0,-0.000000,1.000000
AOTU020,2,2,0,0,-0.000000,1.000000
AOTU021,1,1,0,0,-0.000000,1.000000
AOTU022,1,1,0,0,-0.000000,1.000000
AOTU023,2,2,0,0,-0.000000,1.000000
AOTU024,1,1,0,0,-0.000000,1.000000
AOTU025,1,1,0,0,-0.000000,1.000000
AOTU026,1,1,0,0,-0.000000,1.000000
AOTU027,1,1,0,0,-0.000000,1.000000
AOTU028,1,1,0,0,-0.000000,1.000000
AOTU029,1,1,0,0,-0.000000,1.000000
AOTU030,1,1,0,0,-0.000000,1.000000
AOTU031,1,1,0,0,-0.000000,1.000000
AOTU032,3,3,0,0,-0.000000,1.000000
AOTU033,1,1,0,0,-0.000000,1.000000
AOTU034,1,1,0,0,-0.000000,1.000000
AOTU035,2,2,0,0,-0.000000,1.000000
AOTU036,1,1,0,0,-0.000000,1.000000
