node_index,body_id,value
0,0,1
1,1,1
2,2,1
3,3,1
4,4,1
5,5,0
6,6,1
7,9,1
8,11,0
9,13,0
10,16,0
11,18,1
12,20,0
13,21,0
14,22,1
15,25,1
16,28,1
17,29,1
18,30,1
19,31,1
20,34,0
21,36,1
22,37,1
23,38,1
24,39,0
25,41,1
26,45,0
27,48,1
28,49,1
29,50,1
30,51,1
31,52,1
32,55,0
33,56,0
34,57,0
35,59,0
36,60,0
37,61,0
38,62,0
39,65,0
40,66,0
41,67,0
42,68,0
43,69,1
44,70,1
45,79,1
46,80,0
47,81,1
48,83,0
49,84,1
50,85,1
51,86,1
52,87,1
53,90,1
54,92,1
55,93,1
56,94,1
57,95,1
58,98,0
59,99,1
60,101,1
61,104,0
62,105,1
63,108,1
64,109,1
65,110,1
66,111,1
67,112,0
68,113,1
69,114,1
70,130,1
71,134,1
72,135,1
73,139,1
74,141,1
75,143,1
76,144,1
77,152,1
78,164,1
79,166,1
80,173,1
81,175,1
82,177,1
83,178,1
84,179,1
85,180,1
86,185,1
87,186,1
88,188,1
89,189,1
90,192,1
91,211,1
92,213,1
93,214,1
94,215,1
95,216,1
96,217,1
97,218,1
98,221,1
99,223,1
100,225,0
101,239,1
102,243,1
103,245,1
104,246,1
105,257,1
106,267,1
107,272,1
108,274,1
109,284,1
110,285,1
111,289,1
112,291,1
113,292,1
114,294,1
115,295,1
116,296,1
117,297,1
118,298,1
119,306,1
120,309,1
121,316,1
122,317,1
123,320,1
124,327,1
125,328,1
126,331,0
127,332,1
128,334,1
129,335,1
130,336,1
131,337,0
132,338,0
133,339,1
134,340,0
135,341,0
136,342,0
137,343,0
138,344,0
139,345,1
140,346,1
141,347,0
142,348,1
143,349,1
144,350,1
145,351,1
146,352,0
147,353,0
148,354,0
149,355,1
150,356,1
151,357,0
152,358,1
153,359,0
154,360,0
155,361,1
156,362,0
157,363,0
158,364,0
159,365,0
160,366,0
161,367,0
162,368,1
163,369,0
164,370,0
165,371,0
166,372,0
167,373,1
168,374,0
169,375,1
170,376,1
171,377,0
172,378,0
173,379,1
174,380,0
175,381,0
176,382,0
177,383,1
178,384,0
179,385,0
180,386,0
181,387,0
182,388,0
183,389,0
184,390,0
185,391,1
186,392,0
187,393,0
188,394,0
189,395,1
190,396,0
191,397,0
192,398,1
193,399,0
194,400,0
195,418,1
196,423,1
197,428,0
198,434,0
199,436,1
200,444,0
201,454,1
202,489,1
203,490,1
204,493,1
205,495,1
206,496,1
207,497,1
208,498,1
209,499,1
210,500,1
211,501,1
212,502,1
213,503,1
214,504,1
215,505,1
216,506,1
217,510,1
218,511,1
219,512,1
220,513,1
221,515,1
222,526,1
223,641,1
224,649,1
225,654,1
226,657,1
227,664,1
228,667,1
229,668,1
230,669,1
231,670,1
232,671,1
233,672,1
234,673,1
235,675,1
236,676,0
237,678,1
238,679,1
239,685,0
240,689,0
241,690,0
242,691,0
243,692,0
244,693,0
245,694,0
246,695,0
247,696,0
248,697,0
249,698,0
250,699,0
251,701,0
252,702,1
253,704,0
254,705,0
255,710,1
256,718,1
257,729,1
258,730,1
259,734,1
260,737,1
261,749,1
262,780,1
263,782,0
264,783,0
265,784,1
266,787,0
267,788,0
268,789,0
269,790,1
270,794,0
271,795,1
272,798,1
273,799,1
274,801,0
275,803,0
276,804,0
277,806,0
278,808,1
279,809,1
280,811,0
281,812,1
282,814,1
283,816,0
284,817,0
285,818,0
286,819,1
287,820,0
288,821,0
289,822,1
290,823,1
291,824,0
292,826,0
293,827,0
294,828,0
295,829,0
296,830,0
297,831,0
298,832,0
299,833,0
300,834,1
301,835,0
302,838,0
303,843,1
304,844,0
305,846,0
306,847,0
307,851,1
308,852,0
309,857,1
310,862,1
311,864,0
312,871,1
313,872,1
314,877,1
315,879,0
316,881,1
317,882,1
318,885,0
319,886,0
320,890,0
321,892,0
322,895,0
323,899,1
324,902,0
325,909,1
326,912,1
327,913,1
328,914,1
329,917,1
330,918,1
331,921,1
332,922,1
333,923,0
334,924,1
335,927,0
336,930,1
337,932,1
338,938,0
339,939,1
340,940,0
341,941,1
342,957,0
343,958,1
344,959,1
345,960,1
346,961,0
347,962,1
348,963,1
349,964,1
350,965,1
351,966,1
352,967,1
353,968,1
354,969,1
355,970,1
356,971,1
357,972,1
358,973,1
359,974,1
360,975,0
361,976,1
362,977,1
363,978,1
364,979,1
365,980,1
366,981,0
367,982,1
368,983,0
369,984,0
370,985,1
371,986,0
372,987,1
373,988,0
374,989,0
375,990,0
376,998,1
377,999,0
378,1002,0
379,1003,0
380,1004,0
381,1005,1
382,1006,0
383,1007,1
384,1010,0
385,1020,1
386,1024,1
387,1025,0
388,1026,0
389,1027,1
390,1028,0
391,1029,0
392,1030,0
393,1031,1
394,1032,1
395,1033,1
396,1034,0
397,1035,1
398,1036,1
399,1037,0
400,1038,0
401,1039,0
402,1040,1
403,1041,0
404,1042,0
405,1043,1
406,1044,1
407,1045,0
408,1046,0
409,1047,1
410,1048,0
411,1049,0
412,1050,0
413,1051,0
414,1052,0
415,1053,0
416,1054,0
417,1055,0
418,1056,0
419,1057,0
420,1058,0
421,1059,0
422,1060,0
423,1061,0
424,1062,1
425,1063,1
426,1064,1
427,1065,1
428,1066,1
429,1067,0
430,1068,0
431,1069,1
432,1070,0
433,1071,1
434,1072,1
435,1074,0
436,1075,0
437,1076,0
438,1077,0
439,1078,0
440,1083,0
441,1084,0
442,1085,0
443,1086,0
444,1087,1
445,1088,0
446,1090,0
447,1091,1
448,1092,1
449,1094,1
450,1099,0
451,1103,0
452,1105,1
453,1106,0
454,1107,0
455,1108,0
456,1109,0
457,1110,1
458,1111,1
459,1112,0
460,1118,1
461,1119,1
462,1126,1
463,1129,1
464,1134,1
465,1136,1
466,1138,1
467,1139,0
468,1141,1
469,1142,1
470,1143,1
471,1145,1
472,1147,1
473,1148,0
474,1149,1
475,1151,1
476,1152,1
477,1153,1
478,1154,0
479,1155,0
480,1156,1
481,1157,0
482,1158,0
483,1160,0
484,1161,0
485,1162,0
486,1163,0
487,1164,0
488,1165,1
489,1167,0
490,1168,0
491,1169,0
492,1170,0
493,1172,0
494,1174,0
495,1176,0
496,1177,0
497,1178,0
498,1179,0
499,1180,0
500,1181,0
501,1182,0
502,1183,0
503,1184,0
504,1185,0
505,1186,0
506,1187,0
507,1188,0
508,1189,1
509,1215,1
510,1260,1
511,1261,1
512,1263,1
513,1264,0
514,1265,1
515,1266,1
516,1267,1
517,1269,1
518,1270,1
519,1271,1
520,1272,0
521,1287,1
522,1294,1
523,1301,1
524,1328,1
525,1329,0
526,1337,1
527,1338,1
528,1343,0
529,1351,0
530,1357,0
531,1371,1
532,1384,0
533,1385,0
534,1386,1
535,1387,0
536,1393,1
537,1394,1
538,1423,1
539,1444,0
540,1455,1
541,1458,1
542,1476,1
543,1479,0
544,1481,1
545,1482,0
546,1483,0
547,1501,0
548,1502,0
549,1503,1
550,1504,0
551,1515,1
552,1534,0
553,1550,1
554,1555,1
555,1561,0
556,1564,0
557,1572,1
558,1574,1
559,1575,1
560,1585,1
561,1588,1
562,1610,0
563,1611,0
564,1624,1
565,1637,0
566,1650,1
567,1670,0
568,1671,0
569,1676,0
570,1677,0
571,1685,1
572,1687,0
573,1688,0
574,1689,0
575,1690,0
576,1691,0
577,1692,0
578,1699,0
579,1716,1
580,1731,1
581,1733,0
582,1735,0
583,1744,1
584,1749,1
585,1750,1
586,1751,1
587,1752,1
588,1753,1
589,1758,1
590,1764,0
591,1766,1
592,1782,1
593,1784,1
594,1812,1
595,1819,0
596,1820,0
597,1821,1
598,1824,1
599,1825,0
600,1827,1
601,1828,1
602,1830,1
603,1831,0
604,1832,0
605,1833,0
606,1836,1
607,1840,1
608,1841,0
609,1843,0
610,1844,1
611,1848,0
612,1850,0
613,1852,0
614,1853,0
615,1856,0
616,1857,0
617,1859,1
618,1870,1
619,1883,0
620,1884,0
621,1885,0
622,1886,0
623,1887,1
624,1889,1
625,1891,0
626,1892,1
627,1893,0
628,1895,0
629,1897,1
630,1898,0
631,1904,0
632,1905,0
633,1906,0
634,1907,0
635,1908,1
636,1909,0
637,1910,0
638,1911,1
639,1912,0
640,1913,0
641,1914,0
642,1915,0
643,1917,0
644,1918,0
645,1919,0
646,1920,0
647,1921,0
648,1922,0
649,1923,0
650,1924,0
651,1925,0
652,1926,1
653,1927,0
654,1928,0
655,1929,1
656,1930,0
657,1931,0
658,1932,0
659,1933,0
660,1934,0
661,1935,0
662,1936,0
663,1937,0
664,1938,1
665,1939,0
666,1940,0
667,1941,1
668,1942,0
669,1943,1
670,1944,0
671,1945,0
672,1946,0
673,1947,0
674,1948,0
675,1949,1
676,1950,0
677,1951,0
678,1952,0
679,1953,0
680,1954,0
681,1955,0
682,1956,0
683,1957,0
684,1958,0
685,1959,1
686,1960,0
687,1961,0
688,1962,0
689,1963,1
690,1964,0
691,1965,1
692,1966,0
693,1968,0
694,1992,0
695,1997,1
696,2002,0
697,2005,1
698,2018,0
699,2020,0
700,2022,1
701,2025,1
702,2026,0
703,2027,0
704,2028,0
705,2029,0
706,2030,0
707,2031,0
708,2032,0
709,2033,0
710,2034,0
711,2035,0
712,2036,0
713,2037,0
714,2039,0
715,2040,0
716,2042,0
717,2043,0
718,2046,0
719,2055,1
720,2061,0
721,2073,0
722,2076,1
723,2086,0
724,2090,1
725,2093,1
726,2097,1
727,2098,0
728,2107,1
729,2109,0
730,2110,1
731,2111,0
732,2113,0
733,2123,1
734,2125,0
735,2127,1
736,2131,0
737,2133,0
738,2134,0
739,2135,1
740,2136,1
741,2137,1
742,2138,1
743,2140,1
744,2144,1
745,2145,0
746,2146,1
747,2148,1
748,2150,0
749,2151,0
750,2154,0
751,2155,0
752,2156,1
753,2157,0
754,2158,0
755,2159,1
756,2160,0
757,2162,0
758,2163,0
759,2164,0
760,2165,1
761,2166,0
762,2167,0
763,2170,1
764,2172,0
765,2173,0
766,2176,1
767,2180,1
768,2182,0
769,2187,0
770,2196,1
771,2207,0
772,2210,0
773,2212,1
774,2224,1
775,2226,0
776,2227,0
777,2228,1
778,2229,1
779,2230,0
780,2231,0
781,2232,0
782,2233,0
783,2235,0
784,2236,0
785,2237,0
786,2243,1
787,2244,0
788,2249,1
789,2250,1
790,2255,0
791,2259,1
792,2260,1
793,2262,0
794,2263,1
795,2267,0
796,2268,1
797,2272,0
798,2274,1
799,2278,1
800,2279,0
801,2281,1
802,2282,1
803,2283,0
804,2285,0
805,2292,0
806,2294,1
807,2296,0
808,2297,1
809,2298,1
810,2299,1
811,2303,1
812,2304,1
813,2305,0
814,2309,0
815,2311,1
816,2312,0
817,2319,0
818,2321,1
819,2322,0
820,2323,1
821,2324,0
822,2325,0
823,2326,0
824,2327,1
825,2328,0
826,2329,1
827,2330,0
828,2331,0
829,2332,1
830,2333,1
831,2334,0
832,2335,0
833,2336,1
834,2337,0
835,2338,0
836,2339,1
837,2340,1
838,2341,0
839,2342,0
840,2343,0
841,2344,1
842,2345,0
843,2346,0
844,2347,1
845,2348,0
846,2349,0
847,2350,0
848,2351,0
849,2352,1
850,2353,1
851,2354,0
852,2355,0
853,2356,0
854,2357,1
855,2358,0
856,2359,0
857,2360,0
858,2361,0
859,2362,0
860,2363,1
861,2364,0
862,2365,0
863,2366,0
864,2367,0
865,2368,1
866,2369,0
867,2370,0
868,2371,0
869,2372,0
870,2373,0
871,2374,0
872,2375,0
873,2376,0
874,2377,1
875,2378,1
876,2379,0
877,2380,0
878,2381,0
879,2382,1
880,2383,1
881,2384,1
882,2385,0
883,2386,1
884,2390,1
885,2391,1
886,2398,1
887,2404,0
888,2407,0
889,2410,1
890,2414,1
891,2417,0
892,2423,0
893,2425,1
894,2438,0
895,2439,1
896,2440,0
897,2442,1
898,2443,0
899,2444,0
900,2445,1
901,2449,1
902,2450,1
903,2451,1
904,2452,0
905,2453,0
906,2454,1
907,2456,1
908,2457,0
909,2460,0
910,2462,0
911,2463,0
912,2465,0
913,2467,1
914,2468,1
915,2470,1
916,2474,1
917,2475,0
918,2478,1
919,2479,1
920,2480,1
921,2481,0
922,2482,0
923,2483,0
924,2484,1
925,2485,1
926,2486,1
927,2487,0
928,2488,1
929,2489,1
930,2490,0
931,2491,0
932,2492,0
933,2493,0
934,2494,0
935,2495,0
936,2496,1
937,2497,0
938,2498,0
939,2499,0
940,2500,1
941,2501,0
942,2502,0
943,2503,0
944,2504,0
945,2505,0
946,2506,0
947,2507,1
948,2508,0
949,2509,0
950,2510,0
951,2511,0
952,2512,0
953,2513,1
954,2514,0
955,2515,0
956,2516,0
957,2517,0
958,2518,0
959,2519,1
960,2520,1
961,2521,0
962,2522,0
963,2523,0
964,2524,0
965,2525,0
966,2526,0
967,2527,1
968,2528,0
969,2529,0
970,2530,0
971,2531,0
972,2532,0
973,2533,0
974,2534,0
975,2535,0
976,2536,0
977,2537,0
978,2538,0
979,2539,0
980,2540,1
981,2541,0
982,2542,0
983,2543,0
984,2544,1
985,2545,1
986,2546,1
987,2547,0
988,2552,0
989,2554,0
990,2557,1
991,2558,1
992,2559,1
993,2560,0
994,2561,1
995,2562,1
996,2564,0
997,2570,0
998,2571,1
999,2576,1
1000,2577,1
1001,2580,1
1002,2584,0
1003,2588,0
1004,2589,1
1005,2592,0
1006,2596,0
1007,2597,0
1008,2598,0
1009,2599,0
1010,2601,0
1011,2602,0
1012,2605,0
1013,2606,0
1014,2610,0
1015,2616,0
1016,2618,0
1017,2619,0
1018,2620,1
1019,2623,1
1020,2626,0
1021,2629,0
1022,2632,0
1023,2633,0
1024,2635,0
1025,2637,0
1026,2638,0
1027,2639,0
1028,2640,0
1029,2641,0
1030,2642,0
1031,2644,1
1032,2648,0
1033,2650,0
1034,2655,0
1035,2656,1
1036,2658,0
1037,2659,0
1038,2660,0
1039,2661,0
1040,2662,0
1041,2665,0
1042,2666,1
1043,2667,0
1044,2668,0
1045,2670,1
1046,2671,0
1047,2673,0
1048,2674,0
1049,2675,0
1050,2676,0
1051,2677,0
1052,2678,0
1053,2680,0
1054,2681,0
1055,2682,1
1056,2683,1
1057,2687,0
1058,2689,1
1059,2691,1
1060,2693,1
1061,2694,1
1062,2695,1
1063,2696,0
1064,2697,0
1065,2698,0
1066,2699,0
1067,2700,0
1068,2701,1
1069,2702,0
1070,2703,1
1071,2704,0
1072,2705,1
1073,2706,1
1074,2707,0
1075,2708,0
1076,2709,0
1077,2710,1
1078,2711,1
1079,2712,1
1080,2713,1
1081,2714,1
1082,2715,1
1083,2716,1
1084,2717,1
1085,2718,1
1086,2719,0
1087,2720,0
1088,2721,0
