step,node_index,body_id,prev_value,new_value
1,662,358091458,1,0
1,1830,266009687,1,0
1,2224,360462062,1,0
1,2675,300097583,1,0
1,2744,205640698,1,0
1,2768,205645137,1,0
1,2847,205981392,1,0
1,2858,423571776,1,0
1,2983,237354797,1,0
1,2996,268388465,1,0
1,2999,237699941,1,0
1,3936,235980783,1,0
1,4265,236339173,1,0
1,4288,331137457,1,0
1,4428,267702448,1,0
1,4445,517699376,1,0
1,4476,237362941,1,0
1,4478,237690555,1,0
1,5855,2178777236,1,0
1,8249,296893992,1,0
1,8264,267218884,1,0
1,8797,329426216,1,0
1,9476,269075958,1,0
1,10190,268734954,1,0
1,11698,7112626502,1,0
1,14280,5812980133,1,0
1,15057,518705379,1,0
1,15522,389760846,1,0
1,16451,1575882338,1,0
1,16575,2350019928,1,0
1,19018,298943718,1,0
1,19320,486661146,1,0
1,19713,1107652720,1,0
1,19904,520070051,1,0
1,20170,299756152,1,0
1,20870,512225306,1,0
1,22271,732345742,1,0
1,22668,1076565094,1,0
1,22980,1166079051,1,0
1,23267,2315220368,1,0
1,23306,328062467,1,0
1,23372,328545342,1,0
1,23526,486617487,1,0
1,24708,392489901,1,0
1,25197,1852879170,1,0
1,27518,360772048,1,0
1,27775,579066350,1,0
1,27784,613866069,1,0
1,27791,670482578,1,0
1,28009,361450391,1,0
1,28016,361796297,1,0
1,28119,331132015,1,0
1,28138,5813134680,1,0
1,31093,1388723848,1,0
1,31212,580403588,1,0
1,31327,643470966,1,0
1,34000,391496997,1,0
1,34007,391514285,1,0
1,34187,1352228328,1,0
1,35034,417419705,1,0
1,35582,886026801,1,0
1,36637,733714525,1,0
1,36775,1046312816,1,0
1,37353,820075047,1,0
1,37713,550763324,1,0
1,39364,425561718,1,0
1,41419,450838261,1,0
1,41594,1541510683,1,0
1,43176,456259788,1,0
1,43456,477792926,1,0
1,43569,1225484905,1,0
1,45407,1346697428,1,0
1,45449,484942061,1,0
1,45503,984544899,1,0
1,45571,951838834,1,0
1,46852,1912219625,1,0
1,48415,1223844386,1,0
1,51166,545284685,1,0
1,51715,543943624,1,0
1,52262,1009135021,1,0
1,52398,916362921,1,0
1,52782,671509567,1,0
1,52921,547029042,1,0
1,53407,1593336381,1,0
1,53472,895204116,1,0
1,53557,2346597170,1,0
1,53867,1387359523,1,0
1,54174,550439598,1,0
1,55542,885684901,1,0
1,56093,1193249605,1,0
1,57230,946352835,1,0
1,57342,1013235734,1,0
1,57405,1728398234,1,0
1,57976,1595637603,1,0
1,58027,732513775,1,0
1,59755,633291137,1,0
1,60010,666053096,1,0
1,60284,2252132619,1,0
1,61228,1574920188,1,0
1,61468,890118718,1,0
1,62592,662288319,1,0
1,62595,662357348,1,0
1,62599,662681146,1,0
1,62951,1881176485,1,0
1,63099,1221850352,1,0
1,63921,1716621594,1,0
1,63959,1747949498,1,0
1,65448,978095767,1,0
1,65527,1380948442,1,0
1,65612,2467649757,1,0
1,66523,1533451330,1,0
1,67228,756084172,1,0
1,67942,1753539934,1,0
1,68384,699744046,1,0
1,68431,886673469,1,0
1,70240,723762524,1,0
1,70342,725661955,1,0
1,70846,1596307383,1,0
1,70958,947400625,1,0
1,71541,1379813137,1,0
1,73127,1073596433,1,0
1,73201,894544052,1,0
1,73439,1448397371,1,0
1,73936,786777919,1,0
1,74091,1260491129,1,0
1,75248,1662572776,1,0
1,75332,2533470763,1,0
1,75426,763229334,1,0
1,76115,1784959748,1,0
1,77257,911815444,1,0
1,77371,788461383,1,0
1,77754,2437845345,1,0
1,79762,1566553720,1,0
1,80237,800748242,1,0
1,80294,817126254,1,0
1,80327,818827261,1,0
1,80330,818840159,1,0
1,81088,822929190,1,0
1,81284,826343485,1,0
1,81296,920739069,1,0
1,82769,857037175,1,0
1,83481,2227145339,1,0
1,83848,5812990986,1,0
1,84215,2307350826,1,0
1,84223,1662913782,1,0
1,84316,879874178,1,0
1,84830,1690283437,1,0
1,85114,1099412034,1,0
1,85663,1040207418,1,0
1,86380,1819797766,1,0
1,86389,1912224827,1,0
1,87015,2311953039,1,0
1,87150,2067368591,1,0
1,87940,1967447803,1,0
1,87966,977767178,1,0
1,88788,940221158,1,0
1,89492,2058846884,1,0
1,89695,947413763,1,0
1,89859,1441243805,1,0
1,89984,1165339903,1,0
1,90645,2279394260,1,0
1,90809,1654297112,1,0
1,91344,5813007289,1,0
1,91403,1625744189,1,0
1,91709,1199785541,1,0
1,91829,979130457,1,0
1,93222,2406110987,1,0
1,93335,1843649027,1,0
1,93938,1316078191,1,0
1,93987,2337694931,1,0
1,94150,1009825962,1,0
1,94246,1011188445,1,0
1,94813,1016637568,1,0
1,95016,2039744592,1,0
1,95152,1656800967,1,0
1,95950,1570840857,1,0
1,96716,5813005868,1,0
1,96735,1194665646,1,0
1,96921,2126766439,1,0
1,96983,1873341805,1,0
1,97799,1595054306,1,0
1,98221,1543609185,1,0
1,98539,1965060076,1,0
1,99296,1972226840,1,0
1,99437,1946135343,1,0
1,99518,1844288048,1,0
1,99918,1138950790,1,0
1,100302,1143449478,1,0
1,101816,1162275295,1,0
1,102009,1750579043,1,0
1,102303,1632617391,1,0
1,102529,2399773755,1,0
1,103285,1759826432,1,0
1,103316,1251636755,1,0
1,103924,1841274327,1,0
1,104018,1193310631,1,0
1,104042,1224340406,1,0
1,104199,1289476327,1,0
1,104242,1259809506,1,0
1,106198,1658980685,1,0
1,106299,1222652837,1,0
1,106542,2341382323,1,0
1,107930,1530938813,1,0
1,108297,1694017590,1,0
1,108805,2529719790,1,0
1,110229,1439543695,1,0
1,110364,1658160704,1,0
1,110722,2009901284,1,0
1,110733,2030199363,1,0
1,112731,1684731761,1,0
1,112744,1314389205,1,0
1,112923,2003249764,1,0
1,112980,1316085692,1,0
1,112985,1347120470,1,0
1,113948,1465803085,1,0
1,114723,1500611435,1,0
1,115402,1346438946,1,0
1,115449,1346780469,1,0
1,115969,5813040610,1,0
1,116629,1354278371,1,0
1,116793,1403733169,1,0
1,117412,1375449753,1,0
1,117950,1501491866,1,0
1,117981,1379178778,1,0
1,118177,1472960673,1,0
1,118388,2185744925,1,0
1,118491,1382584367,1,0
1,118632,1881522576,1,0
1,118795,1850832776,1,0
1,118801,1403392114,1,0
1,118831,1403392537,1,0
1,119057,1590638686,1,0
1,119208,5813031998,1,0
1,119356,1437501359,1,0
1,119725,1408503915,1,0
1,119765,1408845104,1,0
1,119794,1907782676,1,0
1,119864,1409851070,1,0
1,119911,2431149497,1,0
1,119950,1410917020,1,0
1,120139,1411918603,1,0
1,120679,1434427290,1,0
1,120706,1465803096,1,0
1,121179,2217833973,1,0
1,121557,1439544018,1,0
1,121677,1440588329,1,0
1,121688,1440856077,1,0
1,121909,1473989286,1,0
1,122065,1569135289,1,0
1,122068,1474670899,1,0
1,122533,1454488424,1,0
1,122549,1465803189,1,0
1,122550,1465803609,1,0
1,122695,1467508907,1,0
1,122973,1842997159,1,0
1,123070,1904039894,1,0
1,123689,1628162757,1,0
1,124185,1819093865,1,0
1,124933,2189497237,1,0
1,125261,2341801040,1,0
1,125286,1501634206,1,0
1,125405,1502631361,1,0
1,125493,1503658859,1,0
1,125742,2312086281,1,0
1,125851,1509452534,1,0
1,125853,1509452617,1,0
1,125890,1851505472,1,0
1,126033,1547497864,1,0
1,126227,2244094395,1,0
1,126488,1530925683,1,0
1,126511,1531262335,1,0
1,126805,1533325377,1,0
1,127015,2150393158,1,0
1,127073,2120766290,1,0
1,127250,2467809812,1,0
1,127450,1910510592,1,0
1,127497,1881531982,1,0
1,127508,1542874414,1,0
1,127565,1546578912,1,0
1,127842,1589260638,1,0
1,127866,1558566676,1,0
1,128120,1777849452,1,0
1,128388,2429456705,1,0
1,128595,2526511840,1,0
1,128783,1564707083,1,0
1,128818,1565279892,1,0
1,129081,1566696485,1,0
1,129192,1569140063,1,0
1,129565,1731467060,1,0
1,129840,1576456803,1,0
1,129847,1576621382,1,0
1,130893,2062257657,1,0
1,131011,1876755899,1,0
1,131165,1598811130,1,0
1,131534,5813004344,1,0
1,132436,1652353745,1,0
1,132687,1623024542,1,0
1,133883,1634407994,1,0
1,134788,1920288825,1,0
1,135713,1797133124,1,0
1,136837,1654215354,1,0
1,137247,1657573219,1,0
1,137262,1657728887,1,0
1,137689,1662927144,1,0
1,138858,1669928522,1,0
1,139984,1672129706,1,0
1,140184,1683889710,1,0
1,140242,1684321252,1,0
1,140606,2338555167,1,0
1,140734,1687818734,1,0
1,140813,1781951005,1,0
1,140957,1876752069,1,0
1,141345,1694639097,1,0
1,141387,1695140527,1,0
1,141921,1948927555,1,0
1,142000,1701408075,1,0
1,142590,1715390400,1,0
1,142772,1717290871,1,0
1,142804,2589402651,1,0
1,142835,1717856530,1,0
1,142907,1780948873,1,0
1,143399,1817083053,1,0
1,143584,1723633439,1,0
1,143726,1725673602,1,0
1,143787,1789107537,1,0
1,144017,1917628871,1,0
1,144062,1793199905,1,0
1,145318,2530673451,1,0
1,145456,1754896285,1,0
1,145652,2098066591,1,0
1,146278,2335666131,1,0
1,146702,1842323781,1,0
1,147259,1787744280,1,0
1,147861,2037050095,1,0
1,148129,1809463062,1,0
1,148567,2154710702,1,0
1,148572,2370612072,1,0
1,148925,1940881797,1,0
1,149014,1817345914,1,0
1,149144,1818441840,1,0
1,149264,1820168877,1,0
1,149269,1820251272,1,0
1,149281,1820488497,1,0
