selected_row,pooled_source_row,trial_id,plane_index,cluster_index,correlation
0,180389,04192024_6f_a1_r2,9,389,0.08903722858631119
12,178709,04192024_6f_a1_r2,8,709,0.041306899426818686
16,168604,04192024_6f_a1_r2,3,604,0.089153523169469687
22,164373,04192024_6f_a1_r2,1,373,0.08395933448868656
27,166081,04192024_6f_a1_r2,2,81,0.099284336562506459
29,176294,04192024_6f_a1_r2,7,294,0.085837698879579261
36,176510,04192024_6f_a1_r2,7,510,0.083307776712824799
42,166417,04192024_6f_a1_r2,2,417,0.074560256669456523
71,164529,04192024_6f_a1_r2,1,529,0.089136206433288484
75,174065,04192024_6f_a1_r2,6,65,0.069168100766228785
106,190489,04192024_6f_a1_r2,14,489,0.076290126662403784
112,170256,04192024_6f_a1_r2,4,256,0.056994531104672945
117,162478,04192024_6f_a1_r2,0,478,0.098222260677421083
118,172953,04192024_6f_a1_r2,5,953,0.065185532775801872
124,182180,04192024_6f_a1_r2,10,180,0.080835677539365769
128,171766,04192024_6f_a1_r2,4,1766,0.070276430602482162
133,166458,04192024_6f_a1_r2,2,458,0.073234050042809848
139,190064,04192024_6f_a1_r2,14,64,0.058315787799972776
145,192685,04192024_6f_a1_r2,15,685,0.090640902879456892
146,171088,04192024_6f_a1_r2,4,1088,0.079833209826348089
152,171532,04192024_6f_a1_r2,4,1532,0.097423773076577166
159,178869,04192024_6f_a1_r2,8,869,0.097240422751752778
163,203412,04192024_6f_a1_r2,20,1412,0.10156617360926408
165,165202,04192024_6f_a1_r2,1,1202,0.10716479736255614
171,176626,04192024_6f_a1_r2,7,626,0.081120652596004469
172,184023,04192024_6f_a1_r2,11,23,0.076755098114416831
178,178912,04192024_6f_a1_r2,8,912,0.072714540933274813
180,162132,04192024_6f_a1_r2,0,132,0.10197668931547706
182,172058,04192024_6f_a1_r2,5,58,0.093950019473339724
184,168200,04192024_6f_a1_r2,3,200,0.066371007708508539
187,180239,04192024_6f_a1_r2,9,239,0.081416093552748398
188,188462,04192024_6f_a1_r2,13,462,0.099709390341551407
198,168612,04192024_6f_a1_r2,3,612,0.08132901875161043
220,166123,04192024_6f_a1_r2,2,123,0.11102648040413304
240,164259,04192024_6f_a1_r2,1,259,0.057410381925175592
241,174011,04192024_6f_a1_r2,6,11,0.087325910809612911
242,168035,04192024_6f_a1_r2,3,35,0.08622075151712745
249,172829,04192024_6f_a1_r2,5,829,0.082571605322398489
250,179093,04192024_6f_a1_r2,8,1093,0.090058850014318972
276,172903,04192024_6f_a1_r2,5,903,0.073432007092277526
277,164449,04192024_6f_a1_r2,1,449,0.11152633271574303
283,170235,04192024_6f_a1_r2,4,235,0.10865611427145627
287,174755,04192024_6f_a1_r2,6,755,0.098258318718715459
302,192218,04192024_6f_a1_r2,15,218,0.083789886906003988
306,170432,04192024_6f_a1_r2,4,432,0.068058283640043876
312,172417,04192024_6f_a1_r2,5,417,0.098617678523966218
318,174819,04192024_6f_a1_r2,6,819,0.090081809224421175
326,183001,04192024_6f_a1_r2,10,1001,0.095317244892221084
329,166806,04192024_6f_a1_r2,2,806,0.049371834557698481
330,175469,04192024_6f_a1_r2,6,1469,0.070425476609468157
331,170018,04192024_6f_a1_r2,4,18,0.09483053027521611
332,166359,04192024_6f_a1_r2,2,359,0.076560478883325525
334,175394,04192024_6f_a1_r2,6,1394,0.091283925096854554
335,164850,04192024_6f_a1_r2,1,850,0.096780442715527493
336,176100,04192024_6f_a1_r2,7,100,0.097637485888510137
340,172035,04192024_6f_a1_r2,5,35,0.095279144263677118
347,176947,04192024_6f_a1_r2,7,947,0.094092567586885972
