selected_row,pooled_source_row,trial_id,plane_index,cluster_index,correlation
9,116702,04162024_6f_a1_r1,4,702,0.072454319583372562
19,112936,04162024_6f_a1_r1,2,936,0.029483865674703118
23,112139,04162024_6f_a1_r1,2,139,0.077574352110254957
25,124447,04162024_6f_a1_r1,8,447,0.06304638402156422
46,116506,04162024_6f_a1_r1,4,506,0.053060200285383906
57,122139,04162024_6f_a1_r1,7,139,0.06004782287325712
63,112092,04162024_6f_a1_r1,2,92,0.053058903062106026
67,114982,04162024_6f_a1_r1,3,982,0.081246911016606679
80,114714,04162024_6f_a1_r1,3,714,0.074316177191714017
82,117853,04162024_6f_a1_r1,4,1853,0.082749637579259683
83,112548,04162024_6f_a1_r1,2,548,0.074032313548788059
85,116097,04162024_6f_a1_r1,4,97,0.047223081394901438
88,112954,04162024_6f_a1_r1,2,954,0.065540149612670157
99,112004,04162024_6f_a1_r1,2,4,0.034232212671347483
107,112984,04162024_6f_a1_r1,2,984,0.065393559501545476
110,125869,04162024_6f_a1_r1,8,1869,0.040217354553394244
123,108644,04162024_6f_a1_r1,0,644,0.070672734690721981
129,108582,04162024_6f_a1_r1,0,582,0.04901969064390483
131,112335,04162024_6f_a1_r1,2,335,0.068734847625051748
144,108742,04162024_6f_a1_r1,0,742,0.06130438255169654
154,118845,04162024_6f_a1_r1,5,845,0.0684711951780618
155,120449,04162024_6f_a1_r1,6,449,0.062409957333661115
167,110417,04162024_6f_a1_r1,1,417,0.069048774302095703
181,118905,04162024_6f_a1_r1,5,905,0.070985132951150304
183,112130,04162024_6f_a1_r1,2,130,0.076385928624500193
194,112408,04162024_6f_a1_r1,2,408,0.053116701613828497
204,115842,04162024_6f_a1_r1,3,1842,0.081756180999376205
216,110100,04162024_6f_a1_r1,1,100,0.061237932400227575
225,115074,04162024_6f_a1_r1,3,1074,0.075719884480572514
257,116903,04162024_6f_a1_r1,4,903,0.067608025894272894
260,122138,04162024_6f_a1_r1,7,138,0.054570577412639244
266,122348,04162024_6f_a1_r1,7,348,0.072244534468833582
269,120038,04162024_6f_a1_r1,6,38,0.040783564195672153
274,108728,04162024_6f_a1_r1,0,728,0.051501175231653706
278,113048,04162024_6f_a1_r1,2,1048,0.070209766287014308
294,115241,04162024_6f_a1_r1,3,1241,0.063317081630335559
315,114287,04162024_6f_a1_r1,3,287,0.055822138325451111
317,108950,04162024_6f_a1_r1,0,950,0.051590558556077949
328,110189,04162024_6f_a1_r1,1,189,0.047030699371113448
343,108004,04162024_6f_a1_r1,0,4,0.091511832822094269
349,118951,04162024_6f_a1_r1,5,951,0.086683677999041461
356,110076,04162024_6f_a1_r1,1,76,0.07237188431561474
362,108116,04162024_6f_a1_r1,0,116,0.067043509040239091
385,117394,04162024_6f_a1_r1,4,1394,0.042930824147529634
394,114773,04162024_6f_a1_r1,3,773,0.096980819789662873
404,114998,04162024_6f_a1_r1,3,998,0.075591598405990321
406,112738,04162024_6f_a1_r1,2,738,0.066895281234067405
413,113148,04162024_6f_a1_r1,2,1148,0.10351821537701694
426,118308,04162024_6f_a1_r1,5,308,0.096222231893635199
435,108413,04162024_6f_a1_r1,0,413,0.056530844943237686
441,112109,04162024_6f_a1_r1,2,109,0.059266754723854037
